#  Scan CV
#  Measurement Settings:
#  Power supply voltage limit:      2.10E+01 V
#  Power supply current limit:      5.00E-04 A
#  LCR measurement voltage:         5.01E-01 V
#  LCR measurement frequency:          5E+04 Hz
#  Voltage Delay:                      20.00 s
#  Channel Delay:                       0.20 s
#  Probecard temperature:               -1.0 C
#  Switchcard temperature:              24.4 C
#  Switchcard measurement setting:  CV
#  Switchcard display setting:      OFF
# 
# 
#  Nominal Voltage [V]	 Measured Voltage [V]	Channel [-]	R [kOhm]	R_Err [kOhm]	X [kOhm]	X_Err [kOhm]	C [pF]	Total Current [A]
# 
0.00000E+00	8.72920E-06	4.00000E+01	9.22748E+04	3.38768E+01	-4.57691E+04	1.85585E+01	6.95470E+01	-3.50694E-09
0.00000E+00	1.04297E-05	4.10000E+01	9.72166E+04	2.55619E+01	-4.97632E+04	2.34789E+01	6.39649E+01	-2.87839E-09
0.00000E+00	1.03966E-05	4.20000E+01	9.52925E+04	2.18199E+01	-4.82211E+04	3.44921E+01	6.60105E+01	-3.03632E-09
0.00000E+00	1.07947E-05	4.30000E+01	9.37445E+04	2.18247E+01	-4.66211E+04	3.00443E+01	6.82759E+01	-2.54567E-09
0.00000E+00	9.59190E-06	4.40000E+01	9.81952E+04	3.18892E+01	-4.99519E+04	1.78198E+01	6.37233E+01	-3.19048E-09
0.00000E+00	1.06205E-05	4.50000E+01	9.88622E+04	2.80984E+01	-5.06913E+04	1.95336E+01	6.27938E+01	-3.41504E-09
0.00000E+00	9.80760E-06	4.60000E+01	9.41882E+04	1.74507E+01	-4.69030E+04	2.71867E+01	6.78656E+01	-2.65648E-09
0.00000E+00	1.07947E-05	4.70000E+01	9.31977E+04	2.39872E+01	-4.65275E+04	2.05016E+01	6.84133E+01	-2.63591E-09
0.00000E+00	9.59192E-06	4.80000E+01	9.19493E+04	2.56072E+01	-4.55572E+04	1.68625E+01	6.98704E+01	-2.62403E-09
0.00000E+00	8.88680E-06	4.90000E+01	9.02349E+04	1.91559E+01	-4.43644E+04	2.33857E+01	7.17490E+01	-3.24079E-09
0.00000E+00	9.73293E-06	5.00000E+01	9.14492E+04	3.21956E+01	-4.54508E+04	1.54563E+01	7.00339E+01	-2.80449E-09
0.00000E+00	9.41772E-06	5.10000E+01	9.49779E+04	2.93654E+01	-4.81074E+04	3.37351E+01	6.61665E+01	-2.89579E-09
0.00000E+00	9.90713E-06	5.20000E+01	9.04944E+04	3.27492E+01	-4.43864E+04	1.80207E+01	7.17133E+01	-3.28624E-09
0.00000E+00	1.12593E-05	5.30000E+01	9.41532E+04	2.35228E+01	-4.73670E+04	2.55339E+01	6.72008E+01	-3.34155E-09
0.00000E+00	1.02555E-05	5.40000E+01	9.63628E+04	2.01651E+01	-4.85728E+04	2.74995E+01	6.55326E+01	-3.12273E-09
0.00000E+00	9.49237E-06	5.50000E+01	9.39257E+04	2.74119E+01	-4.65229E+04	2.03830E+01	6.84201E+01	-3.01863E-09
0.00000E+00	1.06786E-05	5.60000E+01	9.29800E+04	2.53717E+01	-4.57389E+04	2.91538E+01	6.95929E+01	-3.10013E-09
0.00000E+00	1.02224E-05	5.70000E+01	9.77750E+04	2.74473E+01	-4.98623E+04	1.37080E+01	6.38377E+01	-2.81743E-09
0.00000E+00	1.02804E-05	5.80000E+01	9.20068E+04	1.99545E+01	-4.54179E+04	3.39108E+01	7.00847E+01	-3.29834E-09
0.00000E+00	1.06288E-05	5.90000E+01	9.13789E+04	1.98479E+01	-4.50691E+04	2.63528E+01	7.06271E+01	-2.79267E-09
0.00000E+00	1.04629E-05	6.00000E+01	8.98480E+04	4.57498E+00	-4.38813E+04	9.50798E+00	7.25388E+01	-2.79649E-09
0.00000E+00	1.03219E-05	6.10000E+01	9.16750E+04	2.35453E+01	-4.53303E+04	1.96666E+01	7.02201E+01	-3.05292E-09
0.00000E+00	1.03551E-05	6.20000E+01	9.39670E+04	3.06518E+01	-4.76152E+04	1.76470E+01	6.68504E+01	-2.99761E-09
0.00000E+00	1.05542E-05	6.30000E+01	9.22496E+04	2.64462E+01	-4.59173E+04	1.39438E+01	6.93225E+01	-2.66347E-09
