#Measurement:		CV
#Sensor type:		HPK_6in_135
#Needle measurement:	0
#Identifier:		OpenNeg
#Timestamp:		29.6.2017 16:25 
#Voltage delay:		30.0 s
#Switch delay:		0.1 s
#Compliance level:		0.00 uA
#Voltage limit:		1000.0 V
#LCR freq.:		50000 Hz
#LCR voltg.:		0.50 V
#Repeat:			1
#Sampling number:		3
#Source as DMM:		0
#Custom channels:		
#VISA source:		Source_2410
#VISA DMM:		KEITHLEY_6487
#VISA LCR:		LCR_E4980
#HexPlot cmd:		HexPlot.exe -df NONE -i "C:\Users\Administrator\cernbox\HGCAL test results\Data\HPK_6in_135_OpenNeg\HPK_6in_135_OpenNeg_CV.txt" -g  "C:\Users\Administrator\Desktop\HGCAL_sensor_tests\geo\hex_positions_HPK_128ch_6inch_testcap.txt" -o  "C:\Users\Administrator\cernbox\HGCAL test results\Data\HPK_6in_135_OpenNeg\HPK_6in_135_OpenNeg_CV.pdf" -CV  -p HEX -ys 1  -select -450  -if SELECTOR:PADNUM:VAL:no:no:no:no:no:no:no:no  -pn 0 
#Comments:		WARNING: no CV open correction value found for -50 V. Inserted dummy values (-1000000) instead. WARNING: no CV open correction value found for -75 V. Inserted dummy values (-1000000) instead. WARNING: no CV open correction value found for -100 V. Inserted dummy values (-1000000) instead. WARNING: no CV open correction value found for -125 V. Inserted dummy values (-1000000) instead. WARNING: no CV open correction value found for -150 V. Inserted dummy values (-1000000) instead. WARNING: no CV open correction value found for -175 V. Inserted dummy values (-1000000) instead. WARNING: no CV open correction value found for -200 V. Inserted dummy values (-1000000) instead. WARNING: no CV open correction value found for -225 V. Inserted dummy values (-1000000) instead. WARNING: no CV open correction value found for -250 V. Inserted dummy values (-1000000) instead. WARNING: no CV open correction value found for -270 V. Inserted dummy values (-1000000) instead. WARNING: no CV open correction value found for -280 V. Inserted dummy values (-1000000) instead. WARNING: no CV open correction value found for -290 V. Inserted dummy values (-1000000) instead. WARNING: no CV open correction value found for -300 V. Inserted dummy values (-1000000) instead. WARNING: no CV open correction value found for -310 V. Inserted dummy values (-1000000) instead. WARNING: no CV open correction value found for -320 V. Inserted dummy values (-1000000) instead. WARNING: no CV open correction value found for -330 V. Inserted dummy values (-1000000) instead. WARNING: no CV open correction value found for -350 V. Inserted dummy values (-1000000) instead. WARNING: no CV open correction value found for -375 V. Inserted dummy values (-1000000) instead. WARNING: no CV open correction value found for -400 V. Inserted dummy values (-1000000) instead. WARNING: no CV open correction value found for -450 V. Inserted dummy values (-1000000) instead. 

#Voltage	#Channel	#Cp uncorr.	#Cs uncorr.
#[V]     	#         	#[pF]        	#[pF]        
-25.0	65		1.3965E+1	7.0322E+1
-25.0	66		1.4000E+1	7.1719E+1
-25.0	67		1.3948E+1	7.1617E+1
-25.0	68		1.3561E+1	6.5869E+1
-25.0	69		1.3915E+1	7.0699E+1
-25.0	70		1.4237E+1	7.3603E+1
-25.0	71		1.4287E+1	7.3434E+1
-25.0	72		1.1990E+1	1.0875E+2
-25.0	73		1.2125E+1	1.0806E+2
-25.0	74		1.1696E+1	1.2097E+2
-25.0	75		1.1469E+1	1.2168E+2
-25.0	76		1.4148E+1	7.2454E+1
-25.0	77		1.1544E+1	1.0431E+2
-25.0	78		1.3712E+1	6.7716E+1
-25.0	79		1.3756E+1	6.8497E+1
-25.0	80		1.3763E+1	6.8443E+1
-25.0	81		1.3891E+1	7.0137E+1
-25.0	82		1.4226E+1	7.3538E+1
-25.0	83		1.2007E+1	1.1498E+2
-25.0	84		1.2017E+1	1.1701E+2
-25.0	85		1.1890E+1	1.2083E+2
-25.0	86		1.1896E+1	1.1664E+2
-25.0	87		1.1474E+1	1.3034E+2
-25.0	88		1.1180E+1	1.2731E+2
-25.0	89		1.3835E+1	7.0563E+1
-25.0	90		1.4034E+1	7.2310E+1
-25.0	91		1.4063E+1	7.3891E+1
-25.0	92		1.1166E+1	1.2716E+2
-25.0	93		1.4295E+1	7.4894E+1
-25.0	94		1.1859E+1	1.0926E+2
-25.0	95		1.1616E+1	1.3088E+2
-25.0	96		1.1854E+1	1.1580E+2
-25.0	97		1.1596E+1	1.3017E+2
-25.0	98		1.1588E+1	1.2753E+2
-25.0	99		1.1885E+1	1.1359E+2
-25.0	100		1.1351E+1	1.2329E+2
-25.0	101		1.3903E+1	7.1602E+1
-25.0	102		1.3884E+1	7.1788E+1
-25.0	103		1.3876E+1	7.0126E+1
-25.0	104		1.4040E+1	7.3090E+1
-25.0	105		1.1904E+1	1.1641E+2
-25.0	106		1.2078E+1	1.1520E+2
-25.0	107		1.2104E+1	1.0823E+2
-25.0	108		1.1817E+1	1.1885E+2
-25.0	109		1.2052E+1	1.1743E+2
-25.0	110		1.1942E+1	1.1630E+2
-25.0	111		1.4114E+1	7.3355E+1
-25.0	112		1.1342E+1	1.2136E+2
-25.0	113		1.3997E+1	7.3787E+1
-25.0	114		1.1161E+1	1.2817E+2
-25.0	115		1.4141E+1	7.3859E+1
-25.0	116		1.1571E+1	1.2797E+2
-25.0	117		1.1469E+1	1.2998E+2
-25.0	118		1.2068E+1	1.1685E+2
-25.0	119		1.1558E+1	1.3248E+2
-25.0	120		1.2094E+1	1.1822E+2
-25.0	121		1.4084E+1	7.4954E+1
-25.0	122		1.1792E+1	1.2150E+2
-25.0	123		1.1422E+1	1.2184E+2
-25.0	124		1.4147E+1	7.5793E+1
-25.0	125		1.1525E+1	1.1973E+2
-25.0	126		1.1497E+1	1.3123E+2
-25.0	127		1.1868E+1	1.1592E+2
-25.0	128		1.1617E+1	1.1454E+2
-25.0	129		1.4003E+1	7.2508E+1
-25.0	130		1.1549E+1	1.2069E+2
-25.0	131		1.4208E+1	7.6478E+1
-25.0	132		1.1388E+1	1.3193E+2
-25.0	133		1.1550E+1	1.1817E+2
-25.0	134		1.1204E+1	1.1402E+2
-25.0	135		1.4149E+1	7.5239E+1
-25.0	136		1.1223E+1	1.1485E+2
-25.0	137		1.3864E+1	6.5762E+1
-25.0	138		1.3720E+1	6.4419E+1
-25.0	139		1.4347E+1	7.1310E+1
-25.0	140		1.2030E+1	1.3414E+2
-25.0	141		1.4805E+1	1.0396E+2
-25.0	142		9.5110E+0	3.1816E+2
-25.0	143		1.2379E+0	1.7600E+2
-25.0	144		4.9992E+0	-2.1725E+3
-25.0	145		1.0894E+1	1.2669E+2
-25.0	146		1.3552E+1	6.3076E+1
-25.0	147		1.3578E+1	6.3291E+1
-25.0	148		1.3570E+1	6.3227E+1
-25.0	149		-2.6541E+1	-1.1693E+2
-25.0	150		-2.7873E+1	-1.2094E+2
-25.0	151		-2.6532E+1	-1.1705E+2
-25.0	152		-2.7806E+1	-1.2129E+2
-50.0	1		1.2929E+1	6.1819E+1
-50.0	2		1.3015E+1	6.3195E+1
-50.0	3		1.3208E+1	6.4240E+1
-50.0	4		1.3462E+1	6.7719E+1
-50.0	5		1.2856E+1	6.1684E+1
-50.0	6		1.2898E+1	6.2214E+1
-50.0	7		1.3025E+1	6.2658E+1
-50.0	8		1.3317E+1	6.5014E+1
-50.0	9		1.3316E+1	6.5435E+1
-50.0	10		1.3278E+1	6.6130E+1
-50.0	11		1.3420E+1	6.7953E+1
-50.0	12		1.3438E+1	6.7753E+1
-50.0	13		1.3321E+1	6.6183E+1
-50.0	14		1.3389E+1	6.6134E+1
-50.0	15		1.3292E+1	6.5011E+1
-50.0	16		1.3857E+1	7.0648E+1
-50.0	17		1.3640E+1	6.8691E+1
-50.0	18		1.3123E+1	6.3255E+1
-50.0	19		1.3335E+1	6.5835E+1
-50.0	20		1.3523E+1	6.9192E+1
-50.0	21		1.2863E+1	6.1735E+1
-50.0	22		1.3369E+1	6.7460E+1
-50.0	23		1.3487E+1	6.8215E+1
-50.0	24		1.3566E+1	6.8543E+1
-50.0	25		1.3709E+1	6.9466E+1
-50.0	26		1.3505E+1	6.6460E+1
-50.0	27		1.3807E+1	7.0372E+1
-50.0	28		1.3503E+1	6.7328E+1
-50.0	29		1.3472E+1	6.6638E+1
-50.0	30		1.3500E+1	6.7383E+1
-50.0	31		1.3051E+1	6.3575E+1
-50.0	32		1.3543E+1	6.9950E+1
-50.0	33		1.3365E+1	6.7503E+1
-50.0	34		1.3499E+1	6.8836E+1
-50.0	35		1.3512E+1	6.8018E+1
-50.0	36		1.3389E+1	6.5950E+1
-50.0	37		1.3863E+1	7.2133E+1
-50.0	38		1.3601E+1	6.8056E+1
-50.0	39		1.3740E+1	6.9346E+1
-50.0	40		1.3759E+1	7.1144E+1
-50.0	41		1.3306E+1	6.5508E+1
-50.0	42		1.3480E+1	6.7628E+1
-50.0	43		1.3564E+1	6.9994E+1
-50.0	44		1.3121E+1	6.5377E+1
-50.0	45		1.3092E+1	6.4390E+1
-50.0	46		1.3512E+1	6.9564E+1
-50.0	47		1.3666E+1	7.0106E+1
-50.0	48		1.3792E+1	7.1629E+1
-50.0	49		1.3998E+1	7.3636E+1
-50.0	50		1.1634E+1	1.0835E+2
-50.0	51		1.3534E+1	6.7777E+1
-50.0	52		1.3928E+1	7.3640E+1
-50.0	53		1.1147E+1	1.1320E+2
-50.0	54		1.3292E+1	6.7103E+1
-50.0	55		1.3505E+1	7.0195E+1
-50.0	56		1.3584E+1	7.1422E+1
-50.0	57		1.3204E+1	6.5373E+1
-50.0	58		1.3752E+1	7.1929E+1
-50.0	59		1.3841E+1	7.2481E+1
-50.0	60		1.3996E+1	7.4447E+1
-50.0	61		1.3825E+1	7.2028E+1
-50.0	62		1.3683E+1	6.8492E+1
