#Measurement:		CV
#Sensor type:		HPK_6in_256
#Invert polarity:		0
#Needle measurement:	0
#Identifier:		open_correction_small_steps
#Timestamp:		2.8.2017 21:17 
#Voltage delay:		20.0 s
#Switch delay:		0.3 s
#Compliance level:		0.00 uA
#Voltage limit:		1000.0 V
#LCR freq.:		50000 Hz
#LCR voltg.:		0.50 V
#Repeat:			1
#Sampling number:		3
#Source as DMM:		0
#Custom channels:		
#VISA source:		Source_2410
#VISA DMM:		KEITHLEY_6487
#VISA LCR:		LCR_E4980
#HexPlot cmd:		HexPlot.exe -i "C:\Users\Administrator\cernbox\HGCAL test results\Data\HPK_6in_256_open_correction_small_steps\HPK_6in_256_open_correction_small_steps_CV.txt" -o  "C:\Users\Administrator\cernbox\HGCAL test results\Data\HPK_6in_256_open_correction_small_steps\HPK_6in_256_open_correction_small_steps_CV.pdf" -CV  -p HEX -ys 1  -select -250  -if SELECTOR:PADNUM:VAL -pn 0  -g "C:\Users\Administrator\Desktop\HGCAL_sensor_tests\geo\hex_positions_HPK_256ch_6inch_testcap.txt"
#HexPlot on matrix cmd:	HexPlot.exe -i "C:\Users\Administrator\cernbox\HGCAL test results\Data\HPK_6in_256_open_correction_small_steps\HPK_6in_256_open_correction_small_steps_CV.txt" -o  "C:\Users\Administrator\cernbox\HGCAL test results\Data\HPK_6in_256_open_correction_small_steps\HPK_6in_256_open_correction_small_steps_CV.pdf" -CV  -p HEX -ys 1  -select -250  -if SELECTOR:PADNUM:VAL -pn 0  -g "C:\Users\Administrator\Desktop\HGCAL_sensor_tests\geo\switch_matrix.txt" -m "C:\Users\Administrator\Desktop\HGCAL_sensor_tests\maps\Probe_card_HPK_6in_256ch.txt" 
#Comments:		

#Voltage	#Channel	#Cp        	#Error      	#Tot. curr.	#Act. vlt.	#Time   	#Temp	#Hum.	#Cs        	#Error     	#Impedance 	#Error      	#Phase      	#Error     	#Cp uncorr.	#Cs uncorr.
#[V]    	#       	#[pF]      	#[pF]       	#[nA]      	#[V]      	#[s]    	#[C] 	#[%] 	#[pF]      	#[pF]      	#[Ohm]     	#[Ohm]      	#[Rad]      	#[Rad]     	#[pF]      	#[pF]      
0.0     	18      	4.211949E+1	2.005579E-6 	3.07E-1    	0.00      	51.59   	22.8 	46.6 	5.417489E+1	1.946590E-3	6.663610E+4	2.253886E+0 	-1.079547E+0	1.527525E-5	4.211949E+1	5.417489E+1
0.0     	19      	4.436038E+1	3.907160E-8 	3.07E-1    	0.00      	52.51   	22.8 	46.6 	5.759871E+1	7.641515E-4	6.297180E+4	5.196152E-1 	-1.070810E+0	1.000000E-5	4.436038E+1	5.759871E+1
0.0     	20      	4.208203E+1	3.918475E-7 	3.07E-1    	0.00      	53.42   	22.8 	46.6 	5.395348E+1	7.731966E-4	6.680240E+4	9.539392E-1 	-1.082553E+0	5.773503E-6	4.208203E+1	5.395348E+1
0.0     	21      	4.334961E+1	8.684474E-7 	1.39E-1    	0.00      	54.33   	22.8 	46.6 	5.596617E+1	1.128370E-3	6.462413E+4	1.331666E+0 	-1.076063E+0	5.773503E-6	4.334961E+1	5.596617E+1
0.0     	22      	4.554708E+1	1.161459E-7 	1.39E-1    	0.00      	56.58   	22.8 	46.5 	5.930636E+1	4.437544E-4	6.124480E+4	4.582576E-1 	-1.068240E+0	0.000000E+0	4.554708E+1	5.930636E+1
0.0     	23      	4.425460E+1	1.227539E-6 	1.39E-1    	0.00      	57.48   	22.8 	46.5 	5.732377E+1	1.435139E-3	6.319803E+4	1.582193E+0 	-1.073010E+0	0.000000E+0	4.425460E+1	5.732377E+1
0.0     	24      	4.237387E+1	2.468469E-7 	1.39E-1    	0.00      	58.38   	22.8 	46.5 	5.434825E+1	8.679162E-4	6.632973E+4	7.571878E-1 	-1.082197E+0	1.527525E-5	4.237387E+1	5.434825E+1
0.0     	25      	4.510040E+1	1.232087E-6 	1.39E-1    	0.00      	59.28   	22.8 	46.5 	5.873787E+1	5.928611E-4	6.184447E+4	1.040833E+0 	-1.068037E+0	1.527525E-5	4.510040E+1	5.873787E+1
0.0     	26      	4.286140E+1	3.390251E-7 	1.39E-1    	0.00      	60.18   	22.8 	46.5 	5.522557E+1	9.984042E-4	6.542547E+4	1.026320E+0 	-1.077917E+0	5.773503E-6	4.286140E+1	5.522557E+1
0.0     	27      	4.422451E+1	9.402227E-7 	1.39E-1    	0.00      	61.09   	22.8 	46.5 	5.746711E+1	6.254417E-5	6.314063E+4	6.658328E-1 	-1.070097E+0	2.081666E-5	4.422451E+1	5.746711E+1
0.0     	28      	4.376112E+1	1.285715E-6 	1.39E-1    	0.00      	62.01   	22.8 	46.5 	5.678300E+1	8.770100E-4	6.385527E+4	1.301281E+0 	-1.071417E+0	1.154701E-5	4.376112E+1	5.678300E+1
0.0     	29      	4.326659E+1	4.808057E-8 	1.39E-1    	0.00      	62.91   	22.8 	46.5 	5.593227E+1	4.871423E-4	6.470570E+4	3.000000E-1 	-1.074850E+0	1.000000E-5	4.326659E+1	5.593227E+1
0.0     	30      	4.362293E+1	1.884452E-7 	1.39E-1    	0.00      	63.82   	22.8 	46.6 	5.642530E+1	1.059153E-3	6.415873E+4	2.886751E-1 	-1.074320E+0	2.645751E-5	4.362293E+1	5.642530E+1
0.0     	31      	4.421145E+1	4.644538E-7 	3.76E-1    	0.00      	64.73   	22.8 	46.6 	5.737965E+1	1.445763E-3	6.319807E+4	1.274101E+0 	-1.071220E+0	1.000000E-5	4.421145E+1	5.737965E+1
0.0     	32      	4.259961E+1	9.711772E-7 	3.76E-1    	0.00      	66.98   	22.8 	46.6 	5.482921E+1	1.638584E-3	6.586297E+4	1.724336E+0 	-1.078920E+0	1.000000E-5	4.259961E+1	5.482921E+1
0.0     	33      	4.254406E+1	5.386561E-7 	3.76E-1    	0.00      	67.88   	22.8 	46.6 	5.475849E+1	7.089129E-4	6.594850E+4	9.848858E-1 	-1.078907E+0	5.773503E-6	4.254406E+1	5.475849E+1
0.0     	34      	4.357060E+1	6.060095E-7 	3.76E-1    	0.00      	68.79   	22.8 	46.6 	5.620844E+1	3.560218E-4	6.432097E+4	7.637626E-1 	-1.076773E+0	1.154701E-5	4.357060E+1	5.620844E+1
0.0     	35      	4.361922E+1	2.833641E-6 	3.76E-1    	0.00      	69.69   	22.8 	46.6 	5.625804E+1	1.897410E-3	6.425677E+4	2.302897E+0 	-1.076990E+0	1.000000E-5	4.361922E+1	5.625804E+1
0.0     	36      	4.592116E+1	2.218104E-7 	3.76E-1    	0.00      	70.59   	22.8 	46.6 	5.995295E+1	1.265219E-3	6.066503E+4	6.429101E-1 	-1.065823E+0	2.309401E-5	4.592116E+1	5.995295E+1
0.0     	37      	4.481625E+1	2.112937E-6 	3.76E-1    	0.00      	71.50   	22.8 	46.6 	5.824304E+1	6.850074E-4	6.230320E+4	1.300000E+0 	-1.069987E+0	2.309401E-5	4.481625E+1	5.824304E+1
0.0     	38      	4.311609E+1	1.544582E-6 	3.76E-1    	0.00      	72.42   	22.8 	46.6 	5.566368E+1	1.015331E-3	6.497473E+4	1.527525E+0 	-1.076080E+0	1.000000E-5	4.311609E+1	5.566368E+1
0.0     	39      	4.189641E+1	3.324717E-7 	3.76E-1    	0.00      	73.32   	22.8 	46.5 	5.373834E+1	7.395843E-4	6.708410E+4	9.000000E-1 	-1.082153E+0	5.773503E-6	4.189641E+1	5.373834E+1
0.0     	40      	4.243869E+1	2.523570E-7 	3.76E-1    	0.00      	74.23   	22.8 	46.5 	5.461936E+1	1.306617E-3	6.611437E+4	1.006645E+0 	-1.078967E+0	2.081666E-5	4.243869E+1	5.461936E+1
