#
# This is an automatically generated geo file
# Script: ../bin/create_regular_geofile.py
#
# Draws all available cell shapes
#
# padnumber	xposition	yposition	type	optional


48	-4.20	+2.87	12	SIZE:0.45,X_STRETCH:8.50,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
49	-4.24	+3.07	12	SIZE:0.45,X_STRETCH:8.59,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
50	-4.29	+3.27	12	SIZE:0.45,X_STRETCH:8.69,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
51	-4.33	+3.47	12	SIZE:0.45,X_STRETCH:8.78,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
52	-4.38	+3.68	12	SIZE:0.45,X_STRETCH:8.88,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
53	-4.42	+3.88	12	SIZE:0.45,X_STRETCH:8.97,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
54	-4.47	+4.08	12	SIZE:0.45,X_STRETCH:9.06,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
55	-4.51	+4.28	12	SIZE:0.45,X_STRETCH:9.16,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
56	-4.56	+4.48	12	SIZE:0.45,X_STRETCH:9.25,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
57	-4.60	+4.68	12	SIZE:0.45,X_STRETCH:9.34,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
58	-4.65	+4.88	12	SIZE:0.45,X_STRETCH:9.44,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
59	-4.69	+5.09	12	SIZE:0.45,X_STRETCH:9.53,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
60	-4.74	+5.29	12	SIZE:0.45,X_STRETCH:9.62,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
61	-4.78	+5.49	12	SIZE:0.45,X_STRETCH:9.72,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
62	-4.83	+5.69	12	SIZE:0.45,X_STRETCH:9.81,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
63	-4.87	+5.89	12	SIZE:0.45,X_STRETCH:9.91,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
64	-4.92	+6.09	12	SIZE:0.45,X_STRETCH:10.00,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
65	-0.69	-6.37	12	SIZE:0.45,X_STRETCH:4.09,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
66	-0.70	-6.16	12	SIZE:0.45,X_STRETCH:4.19,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
67	-0.72	-5.95	12	SIZE:0.45,X_STRETCH:4.28,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
68	-0.73	-5.75	12	SIZE:0.45,X_STRETCH:4.38,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
69	-0.75	-5.54	12	SIZE:0.45,X_STRETCH:4.47,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
70	-0.76	-5.34	12	SIZE:0.45,X_STRETCH:4.56,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
71	-0.78	-5.13	12	SIZE:0.45,X_STRETCH:4.66,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
72	-0.79	-4.93	12	SIZE:0.45,X_STRETCH:4.75,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
73	-0.81	-4.72	12	SIZE:0.45,X_STRETCH:4.84,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
74	-0.82	-4.52	12	SIZE:0.45,X_STRETCH:4.94,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
75	-0.84	-4.31	12	SIZE:0.45,X_STRETCH:5.03,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
