#
# This is an automatically generated geo file
# Script: ../bin/create_regular_geofile.py
#
# Draws all available cell shapes
#
# padnumber	xposition	yposition	type	optional


204	+2.64	-4.38	12	SIZE:0.45,X_STRETCH:5.12,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
205	+2.68	-4.18	12	SIZE:0.45,X_STRETCH:5.22,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
206	+2.73	-3.98	12	SIZE:0.45,X_STRETCH:5.31,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
207	+2.77	-3.78	12	SIZE:0.45,X_STRETCH:5.41,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
208	+2.82	-3.58	12	SIZE:0.45,X_STRETCH:5.50,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
209	+2.86	-3.38	12	SIZE:0.45,X_STRETCH:5.59,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
210	+2.91	-3.18	12	SIZE:0.45,X_STRETCH:5.69,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
211	+2.95	-2.97	12	SIZE:0.45,X_STRETCH:5.78,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
212	+3.00	-2.77	12	SIZE:0.45,X_STRETCH:5.88,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
213	+3.04	-2.57	12	SIZE:0.45,X_STRETCH:5.97,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
214	+3.09	-2.37	12	SIZE:0.45,X_STRETCH:6.06,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
215	+3.13	-2.17	12	SIZE:0.45,X_STRETCH:6.16,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
216	+3.18	-1.97	12	SIZE:0.45,X_STRETCH:6.25,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
217	+3.22	-1.77	12	SIZE:0.45,X_STRETCH:6.34,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
218	+3.27	-1.56	12	SIZE:0.45,X_STRETCH:6.44,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
219	+3.31	-1.36	12	SIZE:0.45,X_STRETCH:6.53,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
220	+3.36	-1.16	12	SIZE:0.45,X_STRETCH:6.62,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
221	+3.40	-0.96	12	SIZE:0.45,X_STRETCH:6.72,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
222	+3.45	-0.76	12	SIZE:0.45,X_STRETCH:6.81,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
223	+3.49	-0.56	12	SIZE:0.45,X_STRETCH:6.91,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
224	+3.54	-0.35	12	SIZE:0.45,X_STRETCH:7.00,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
225	+3.58	-0.15	12	SIZE:0.45,X_STRETCH:7.09,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
226	+3.63	+0.05	12	SIZE:0.45,X_STRETCH:7.19,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
227	+3.67	+0.25	12	SIZE:0.45,X_STRETCH:7.28,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
228	+3.72	+0.45	12	SIZE:0.45,X_STRETCH:7.38,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
229	+3.76	+0.65	12	SIZE:0.45,X_STRETCH:7.47,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
230	+3.81	+0.85	12	SIZE:0.45,X_STRETCH:7.56,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
231	+3.85	+1.06	12	SIZE:0.45,X_STRETCH:7.66,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
232	+3.90	+1.26	12	SIZE:0.45,X_STRETCH:7.75,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
233	+3.94	+1.46	12	SIZE:0.45,X_STRETCH:7.84,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
234	+3.99	+1.66	12	SIZE:0.45,X_STRETCH:7.94,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
235	+4.03	+1.86	12	SIZE:0.45,X_STRETCH:8.03,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
236	+4.08	+2.06	12	SIZE:0.45,X_STRETCH:8.12,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
237	+4.12	+2.26	12	SIZE:0.45,X_STRETCH:8.22,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
238	+4.17	+2.47	12	SIZE:0.45,X_STRETCH:8.31,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
239	+4.21	+2.67	12	SIZE:0.45,X_STRETCH:8.41,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
240	+4.26	+2.87	12	SIZE:0.45,X_STRETCH:8.50,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
241	+4.30	+3.07	12	SIZE:0.45,X_STRETCH:8.59,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
242	+4.35	+3.27	12	SIZE:0.45,X_STRETCH:8.69,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
243	+4.39	+3.47	12	SIZE:0.45,X_STRETCH:8.78,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
244	+4.44	+3.68	12	SIZE:0.45,X_STRETCH:8.88,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
245	+4.48	+3.88	12	SIZE:0.45,X_STRETCH:8.97,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
246	+4.53	+4.08	12	SIZE:0.45,X_STRETCH:9.06,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
247	+4.57	+4.28	12	SIZE:0.45,X_STRETCH:9.16,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
248	+4.62	+4.48	12	SIZE:0.45,X_STRETCH:9.25,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
249	+4.66	+4.68	12	SIZE:0.45,X_STRETCH:9.34,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
250	+4.71	+4.88	12	SIZE:0.45,X_STRETCH:9.44,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
251	+4.75	+5.09	12	SIZE:0.45,X_STRETCH:9.53,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
252	+4.80	+5.29	12	SIZE:0.45,X_STRETCH:9.62,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
253	+4.84	+5.49	12	SIZE:0.45,X_STRETCH:9.72,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
254	+4.89	+5.69	12	SIZE:0.45,X_STRETCH:9.81,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
255	+4.93	+5.89	12	SIZE:0.45,X_STRETCH:9.91,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00
256	+4.98	+6.09	12	SIZE:0.45,X_STRETCH:10.00,Y_STRETCH:0.45,BEND:0.05,ROTATE:-12.00


257	+5.50	-1.90	12	SIZE:0.4,X_STRETCH:8,Y_STRETCH:0.5
258	+5.50	-2.33	12	SIZE:0.4,X_STRETCH:8,Y_STRETCH:0.5
259	+5.50	-2.76	12	SIZE:0.4,X_STRETCH:8,Y_STRETCH:0.5

260	+5.50	-3.90	6	SIZE:0.4
261	+5.50	-4.33	6	SIZE:0.4
262	+5.50	-4.76	6	SIZE:0.4
263	+5.50	-5.20	6	SIZE:0.4
264	+6.00	-3.90	6	SIZE:0.4
265	+6.00	-4.33	6	SIZE:0.4
266	+6.00	-4.76	6	SIZE:0.4
267	+6.00	-5.20	6	SIZE:0.4
