#
# This is an automatically generated geo file
# Script: create_regular_geofile.py
#
# Draws all available cell shapes
#
# padnumber	xposition	yposition	type	optional


80	+5.15	+0.95	11	SIZE:0.82,ROTATE:300
81	-5.51	+0.26	11	SIZE:0.82,ROTATE:60
82	-4.72	+0.26	0	SIZE:0.82,ROTATE:0
83	-3.94	+0.26	0	SIZE:0.82,ROTATE:0
84	-3.15	+0.26	0	SIZE:0.82,ROTATE:0
85	-2.35	+0.26	0	SIZE:0.82,ROTATE:0
86	-1.57	+0.26	0	SIZE:0.82,ROTATE:0
87	-0.78	+0.26	0	SIZE:0.82,ROTATE:0
88	+0.01	+0.26	0	SIZE:0.82,ROTATE:0
89	+0.80	+0.26	0	SIZE:0.82,ROTATE:0
90	+1.59	+0.26	0	SIZE:0.82,ROTATE:0
91	+2.38	+0.26	0	SIZE:0.82,ROTATE:0
92	+3.17	+0.26	0	SIZE:0.82,ROTATE:0
93	+3.96	+0.26	0	SIZE:0.82,ROTATE:0
94	+4.75	+0.26	0	SIZE:0.82,ROTATE:0
95	+5.54	+0.26	11	SIZE:0.82,ROTATE:300
96	-5.91	-0.43	3	SIZE:0.82,ROTATE:120
97	-5.12	-0.43	0	SIZE:0.82,ROTATE:0
98	-4.33	-0.43	0	SIZE:0.82,ROTATE:0
99	-3.54	-0.43	0	SIZE:0.82,ROTATE:0
100	-2.75	-0.43	0	SIZE:0.82,ROTATE:0
101	-1.96	-0.43	0	SIZE:0.82,ROTATE:0
102	-1.17	-0.43	0	SIZE:0.82,ROTATE:0
103	-0.38	-0.43	0	SIZE:0.82,ROTATE:0
104	+0.41	-0.43	0	SIZE:0.82,ROTATE:0
105	+1.20	-0.43	0	SIZE:0.82,ROTATE:0
106	+1.99	-0.43	0	SIZE:0.82,ROTATE:0
107	+2.78	-0.43	0	SIZE:0.82,ROTATE:0
108	+3.57	-0.43	0	SIZE:0.82,ROTATE:0
109	+4.36	-0.43	0	SIZE:0.82,ROTATE:0
110	+5.15	-0.43	0	SIZE:0.82,ROTATE:0
111	+5.94	-0.43	3	SIZE:0.82,ROTATE:120,INVERT:1
112	-5.51	-1.12	21	SIZE:0.82,ROTATE:210
113	-4.72	-1.12	0	SIZE:0.82,ROTATE:0
114	-3.94	-1.12	0	SIZE:0.82,ROTATE:0
115	-3.15	-1.12	0	SIZE:0.82,ROTATE:0
116	-2.35	-1.12	0	SIZE:0.82,ROTATE:0
117	-1.57	-1.12	0	SIZE:0.82,ROTATE:0
118	-0.78	-1.12	0	SIZE:0.82,ROTATE:0
119	+0.01	-1.12	0	SIZE:0.82,ROTATE:0
120	+0.80	-1.12	0	SIZE:0.82,ROTATE:0
121	+1.59	-1.12	0	SIZE:0.82,ROTATE:0
122	+2.38	-1.12	0	SIZE:0.82,ROTATE:0
123	+3.17	-1.12	0	SIZE:0.82,ROTATE:0
124	+3.96	-1.12	0	SIZE:0.82,ROTATE:0
125	+4.75	-1.12	0	SIZE:0.82,ROTATE:0
126	+5.54	-1.12	21	SIZE:0.82,ROTATE:-30
127	-5.12	-1.81	21	SIZE:0.82,ROTATE:210
128	-4.33	-1.81	0	SIZE:0.82,ROTATE:0
129	-3.54	-1.81	0	SIZE:0.82,ROTATE:0
130	-2.75	-1.81	0	SIZE:0.82,ROTATE:0
131	-1.96	-1.81	0	SIZE:0.82,ROTATE:0
132	-1.17	-1.81	0	SIZE:0.82,ROTATE:0
133	-0.38	-1.81	0	SIZE:0.82,ROTATE:0
134	+0.41	-1.81	0	SIZE:0.82,ROTATE:0
135	+1.20	-1.81	0	SIZE:0.82,ROTATE:0
136	+1.99	-1.81	0	SIZE:0.82,ROTATE:0
137	+2.78	-1.81	0	SIZE:0.82,ROTATE:0
138	+3.57	-1.81	0	SIZE:0.82,ROTATE:0
139	+4.36	-1.81	0	SIZE:0.82,ROTATE:0
140	+5.15	-1.81	21	SIZE:0.82,ROTATE:-30
141	-4.72	-2.50	21	SIZE:0.82,ROTATE:210
142	-3.93	-2.50	4	SIZE:0.82,ROTATE:0
143	-3.94	-2.50	14	SIZE:0.35,ROTATE:0
144	-3.15	-2.50	0	SIZE:0.82,ROTATE:0
145	-2.35	-2.50	0	SIZE:0.82,ROTATE:0
146	-1.57	-2.50	0	SIZE:0.82,ROTATE:0
147	-0.78	-2.50	0	SIZE:0.82,ROTATE:0
148	+0.01	-2.50	0	SIZE:0.82,ROTATE:0
149	+0.80	-2.50	0	SIZE:0.82,ROTATE:0
150	+1.59	-2.50	0	SIZE:0.82,ROTATE:0
151	+2.38	-2.50	0	SIZE:0.82,ROTATE:0
152	+3.17	-2.50	0	SIZE:0.82,ROTATE:0
153	+3.96	-2.50	4	SIZE:0.82,ROTATE:0
154	+3.96	-2.50	14	SIZE:0.35,ROTATE:0
155	+4.75	-2.50	21	SIZE:0.82,ROTATE:-30
156	-4.33	-3.19	21	SIZE:0.82,ROTATE:210
157	-3.54	-3.19	0	SIZE:0.82,ROTATE:0
158	-2.75	-3.19	0	SIZE:0.82,ROTATE:0
159	-1.96	-3.19	0	SIZE:0.82,ROTATE:0
160	-1.17	-3.19	0	SIZE:0.82,ROTATE:0
161	-0.38	-3.19	0	SIZE:0.82,ROTATE:0
162	+0.41	-3.19	4	SIZE:0.82,ROTATE:0
163	+0.41	-3.19	14	SIZE:0.35,ROTATE:0
164	+1.20	-3.19	0	SIZE:0.82,ROTATE:0
165	+1.99	-3.19	0	SIZE:0.82,ROTATE:0
166	+2.78	-3.19	0	SIZE:0.82,ROTATE:0
167	+3.57	-3.19	0	SIZE:0.82,ROTATE:0
168	+4.36	-3.19	21	SIZE:0.82,ROTATE:-30
169	-3.93	-3.88	21	SIZE:0.82,ROTATE:210
170	-3.14	-3.88	0	SIZE:0.82,ROTATE:0
171	-2.35	-3.88	0	SIZE:0.82,ROTATE:0
172	-1.56	-3.88	0	SIZE:0.82,ROTATE:0
173	-0.77	-3.88	0	SIZE:0.82,ROTATE:0
174	+0.01	-3.88	0	SIZE:0.82,ROTATE:0
175	+0.80	-3.88	0	SIZE:0.82,ROTATE:0
176	+1.59	-3.88	0	SIZE:0.82,ROTATE:0
177	+2.38	-3.88	0	SIZE:0.82,ROTATE:0
178	+3.17	-3.88	0	SIZE:0.82,ROTATE:0
179	+3.96	-3.88	21	SIZE:0.82,ROTATE:-30
180	-3.54	-4.57	21	SIZE:0.82,ROTATE:210
181	-2.75	-4.57	0	SIZE:0.82,ROTATE:0
182	-1.96	-4.57	0	SIZE:0.82,ROTATE:0
183	-1.17	-4.57	0	SIZE:0.82,ROTATE:0
184	-0.38	-4.57	0	SIZE:0.82,ROTATE:0
185	+0.41	-4.57	0	SIZE:0.82,ROTATE:0
186	+1.20	-4.57	0	SIZE:0.82,ROTATE:0
187	+1.99	-4.57	0	SIZE:0.82,ROTATE:0
188	+2.78	-4.57	0	SIZE:0.82,ROTATE:0
189	+3.57	-4.57	21	SIZE:0.82,ROTATE:-30
190	-3.14	-5.26	3	SIZE:0.82,ROTATE:-120,INVERT:1
191	-2.35	-5.26	11	SIZE:0.82,ROTATE:180
192	-1.56	-5.26	11	SIZE:0.82,ROTATE:180
193	-0.77	-5.26	11	SIZE:0.82,ROTATE:180
194	+0.02	-5.26	11	SIZE:0.82,ROTATE:180
195	+0.80	-5.26	11	SIZE:0.82,ROTATE:180
196	+1.59	-5.26	11	SIZE:0.82,ROTATE:180
197	+2.38	-5.26	11	SIZE:0.82,ROTATE:180
198	+3.17	-5.26	3	SIZE:0.82,ROTATE:240
199	+0.00	-0.2	1	SIZE:12.5,ROTATE:30,WIDTH:0.01,EDGE_SHIFT:0.8
200	+5.50	-3.90	6	SIZE:0.4
201	+5.50	-4.33	6	SIZE:0.4
202	+5.50	-4.76	6	SIZE:0.4
203	+5.50	-5.20	6	SIZE:0.4
204	+6.00	-3.90	6	SIZE:0.4
205	+6.00	-4.33	6	SIZE:0.4
206	+6.00	-4.76	6	SIZE:0.4
207	+6.00	-5.20	6	SIZE:0.4
