#
# This is an automatically generated geo file
# Script: ../create_regular_geofile.py
#
# draws all available cell shapes
#
# padnumber	xposition	yposition	size	type	rotation


118	-4.585714285714285	-5.4	0.4	12	45
119	-3.9857142857142858	-5.4	0.4	12	45
120	-4.585714285714285	-6.2	0.4	12	45
121	-3.9857142857142858	-6.2	0.4	12	45
122	-4.585714285714285	-6.6000000000000005	0.4	12	45
123	-3.9857142857142858	-6.6000000000000005	0.4	12	45
124	-4.585714285714285	-7.0	0.4	12	45
125	-3.9857142857142858	-7.0	0.4	12	45
126	-4.585714285714285	-7.4	0.4	12	45
127	-3.9857142857142858	-7.4	0.4	12	45
128	-2.871428571428572	7.8	0.4	12	45
129	-2.2714285714285714	7.8	0.4	12	45
130	-2.871428571428572	7.3999999999999995	0.4	12	45
131	-2.2714285714285714	7.3999999999999995	0.4	12	45
132	-2.871428571428572	7.0	0.4	12	45
133	-2.2714285714285714	7.0	0.4	12	45
134	-2.871428571428572	6.6	0.4	12	45
135	-2.2714285714285714	6.6	0.4	12	45
136	-2.871428571428572	5.8	0.4	12	45
137	-2.2714285714285714	5.8	0.4	12	45
138	-2.871428571428572	5.3999999999999995	0.4	12	45
139	-2.2714285714285714	5.3999999999999995	0.4	12	45
140	-2.871428571428572	5.0	0.4	12	45
141	-2.2714285714285714	5.0	0.4	12	45
142	-2.871428571428572	4.6	0.4	12	45
143	-2.2714285714285714	4.6	0.4	12	45
144	-2.871428571428572	3.8	0.4	12	45
145	-2.2714285714285714	3.8	0.4	12	45
146	-2.871428571428572	3.4	0.4	12	45
147	-2.2714285714285714	3.4	0.4	12	45
148	-2.871428571428572	3.0	0.4	12	45
149	-2.2714285714285714	3.0	0.4	12	45
150	-2.871428571428572	2.5999999999999996	0.4	12	45
151	-2.2714285714285714	2.5999999999999996	0.4	12	45
152	-2.871428571428572	1.8	0.4	12	45
153	-2.2714285714285714	1.8	0.4	12	45
154	-2.871428571428572	1.4	0.4	12	45
155	-2.2714285714285714	1.4	0.4	12	45
156	-2.871428571428572	1.0	0.4	12	45
157	-2.2714285714285714	1.0	0.4	12	45
158	-2.871428571428572	0.5999999999999999	0.4	12	45
159	-2.2714285714285714	0.5999999999999999	0.4	12	45
160	-2.871428571428572	-0.19999999999999996	0.4	12	45
161	-2.2714285714285714	-0.19999999999999996	0.4	12	45
162	-2.871428571428572	-0.6	0.4	12	45
163	-2.2714285714285714	-0.6	0.4	12	45
164	-2.871428571428572	-1.0	0.4	12	45
165	-2.2714285714285714	-1.0	0.4	12	45
166	-2.871428571428572	-1.4000000000000001	0.4	12	45
167	-2.2714285714285714	-1.4000000000000001	0.4	12	45
168	-2.871428571428572	-2.2	0.4	12	45
169	-2.2714285714285714	-2.2	0.4	12	45
170	-2.871428571428572	-2.6	0.4	12	45
171	-2.2714285714285714	-2.6	0.4	12	45
172	-2.871428571428572	-3.0	0.4	12	45
